Suburb,Total
Gearys Flat,0
Geehi,3
Gelston Park,1
Gemalla,1
Geneva,19
Georges Creek,1
Georges Plains,3
Georgetown,114
Georgica,25
Gerogery,13
Gerringong,117
Gerroa,36
Geurie,24
Ghinni Ghi,3
Ghinni Ghinni,3
Ghoolendaadi,1
Giants Creek,1
Gibberagee,4
Gibraltar Range,0
Gidginbung,0
Gidley,4
Gilead,9
Gilgai,34
Gilgooma,2
Gilgunnia,6
Gillenbah,29
Gilletts Ridge,0
Gillieston Heights,151
Gilmandyke,0
Gilmore,9
Gin Gin,4
Gineroi,2
Ginghi,0
Gingkin,2
Girards Hill,82
Girilambone,9
Giro,0
Girral,1
Girralong,0
Girraween,267
Girvan,18
Gladesville,418
Gladstone,25
Glanmire,6
Glebe,2361
Gledswood Hills,9
Glen Alice,74
Glen Allen,1
Glen Alpine,152
Glen Davis,4
Glen Elgin,5
Glen Martin,0
Glen Oak,4
Glen Ward,0
Glen William,6
Glenbawn,13
Glencoe,8
Glendale,644
Glendenning,282
Glendon,0
Glendon Brook,6
Glenelg,0
Glenellen,1
Glenfield Park,657
Glengarrie,0
Glenhaven,86
Gleniffer,18
Glenmore,0
Glenmore Park,646
Glenning Valley,84
Glenorie,78
Glenreagh,30
Glenridding,34
Glenrock,1
Glenroy (Albury),169
Glenroy (Snowy Valleys),3
Glenthorne,63
Glenugie,19
Glenwood,364
Glenworth Valley,3
Glossodia,57
Gloucester,242
Gloucester Tops,0
Gobarralong,1
Gobbagombalin,12
Gocup,6
Godfreys Creek,3
Gogeldrie,3
Gol Gol,61
Gollan,3
Golspie,3
Gongolgon,5
Gonn,4
Goobarragandra,9
Good Forest,0
Good Hope,5
Goodnight,1
Goodooga,30
Goodwood Island,6
Googong,71
Goolgowi,26
Goolhi,1
Goolma,17
Goolmangar,8
Gooloogong,28
Goombargana,0
Goonellabah,1027
Goonengerry,7
Goonoo Forest,0
Goonoo Goonoo,0
Goonumbla,6
Goorangoola,5
Gordon,324
Gorge Creek,0
Gormans Hill,100
Gorokan,662
Gosford,4945
Gosforth,3
Gostwyck,0
Goulburn,2065
Gouldsville,2
Gowan,23
Gowang,0
Gowrie (Singleton),2
Gowrie (Tamworth Regional),1
